Date : 2023-04-24 12:01:46
Directory : /Users/matiasfonseca/Desktop/EasyEcommerce/frontend
Total : 260 files,  35919 codes, 767 comments, 2131 blanks, all 38817 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        206 |     34,282 |        494 |      1,852 |     36,628 |
| XML        |         17 |        607 |         48 |         19 |        674 |
| C++        |         16 |        543 |        118 |        181 |        842 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Groovy     |          3 |         89 |          5 |         22 |        116 |
| YAML       |          2 |         49 |         83 |         21 |        153 |
| Swift      |          4 |         42 |          3 |         12 |         57 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| Markdown   |          5 |         13 |          0 |         12 |         25 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |        260 |     35,919 |        767 |      2,131 |     38,817 |
| . (Files)                                                                                                                            |          3 |         59 |         83 |         28 |        170 |
| android                                                                                                                              |         12 |        159 |         51 |         33 |        243 |
| android (Files)                                                                                                                      |          3 |         38 |          0 |         10 |         48 |
| android/app                                                                                                                          |          8 |        116 |         51 |         22 |        189 |
| android/app (Files)                                                                                                                  |          1 |         54 |          5 |         13 |         72 |
| android/app/src                                                                                                                      |          7 |         62 |         46 |          9 |        117 |
| android/app/src/debug                                                                                                                |          1 |          4 |          4 |          1 |          9 |
| android/app/src/main                                                                                                                 |          5 |         54 |         38 |          7 |         99 |
| android/app/src/main (Files)                                                                                                         |          1 |         28 |          6 |          1 |         35 |
| android/app/src/main/res                                                                                                             |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                                    |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                                |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                                      |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                                |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                              |          1 |          4 |          4 |          1 |          9 |
| android/gradle                                                                                                                       |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                               |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                                  |         11 |        315 |          2 |         13 |        330 |
| ios/Flutter                                                                                                                          |          1 |         26 |          0 |          1 |         27 |
| ios/Runner                                                                                                                           |          8 |        273 |          2 |         10 |        285 |
| ios/Runner (Files)                                                                                                                   |          3 |         64 |          0 |          4 |         68 |
| ios/Runner.xcodeproj                                                                                                                 |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcodeproj/project.xcworkspace                                                                                             |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcodeproj/project.xcworkspace/xcshareddata                                                                                |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcworkspace                                                                                                               |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcworkspace/xcshareddata                                                                                                  |          1 |          8 |          0 |          1 |          9 |
| ios/Runner/Assets.xcassets                                                                                                           |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                        |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                      |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                                |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                  |        208 |     34,268 |        484 |      1,848 |     36,600 |
| lib (Files)                                                                                                                          |          1 |         65 |          1 |          4 |         70 |
| lib/config                                                                                                                           |          3 |         17 |          0 |          5 |         22 |
| lib/connections                                                                                                                      |          1 |      1,667 |         23 |        202 |      1,892 |
| lib/helpers                                                                                                                          |          3 |         21 |          0 |          6 |         27 |
| lib/middlewares                                                                                                                      |          1 |         19 |          0 |          3 |         22 |
| lib/providers                                                                                                                        |          6 |        109 |          0 |         21 |        130 |
| lib/providers (Files)                                                                                                                |          1 |          0 |          0 |          1 |          1 |
| lib/providers/filters_orders                                                                                                         |          1 |         69 |          0 |         12 |         81 |
| lib/providers/logistic                                                                                                               |          1 |         10 |          0 |          2 |         12 |
| lib/providers/operator                                                                                                               |          1 |         10 |          0 |          2 |         12 |
| lib/providers/sellers                                                                                                                |          1 |         10 |          0 |          2 |         12 |
| lib/providers/transport                                                                                                              |          1 |         10 |          0 |          2 |         12 |
| lib/routes                                                                                                                           |          1 |        309 |         43 |         41 |        393 |
| lib/theme                                                                                                                            |          1 |         16 |          0 |          2 |         18 |
| lib/ui                                                                                                                               |        191 |     32,045 |        417 |      1,564 |     34,026 |
| lib/ui/login                                                                                                                         |          2 |        194 |          0 |         14 |        208 |
| lib/ui/login (Files)                                                                                                                 |          1 |        178 |          0 |         11 |        189 |
| lib/ui/login/controllers                                                                                                             |          1 |         16 |          0 |          3 |         19 |
| lib/ui/logistic                                                                                                                      |         85 |     13,724 |        303 |        712 |     14,739 |
| lib/ui/logistic (Files)                                                                                                              |          1 |          0 |          0 |          1 |          1 |
| lib/ui/logistic/account_status                                                                                                       |          3 |        340 |          2 |         21 |        363 |
| lib/ui/logistic/account_status (Files)                                                                                               |          2 |        336 |          2 |         19 |        357 |
| lib/ui/logistic/account_status/controllers                                                                                           |          1 |          4 |          0 |          2 |          6 |
| lib/ui/logistic/add_carrier                                                                                                          |          3 |        450 |        111 |         22 |        583 |
| lib/ui/logistic/add_carrier (Files)                                                                                                  |          2 |        412 |         96 |         18 |        526 |
| lib/ui/logistic/add_carrier/controllers                                                                                              |          1 |         38 |         15 |          4 |         57 |
| lib/ui/logistic/add_logistics_user                                                                                                   |          3 |      1,029 |          2 |         30 |      1,061 |
| lib/ui/logistic/add_logistics_user (Files)                                                                                           |          2 |        976 |          2 |         24 |      1,002 |
| lib/ui/logistic/add_logistics_user/controllers                                                                                       |          1 |         53 |          0 |          6 |         59 |
| lib/ui/logistic/add_sellers                                                                                                          |          3 |        774 |          2 |         35 |        811 |
| lib/ui/logistic/add_sellers (Files)                                                                                                  |          2 |        695 |          2 |         25 |        722 |
| lib/ui/logistic/add_sellers/controllers                                                                                              |          1 |         79 |          0 |         10 |         89 |
| lib/ui/logistic/add_stock_to_vendors                                                                                                 |          3 |        339 |         68 |         23 |        430 |
| lib/ui/logistic/add_stock_to_vendors (Files)                                                                                         |          2 |        318 |         68 |         19 |        405 |
| lib/ui/logistic/add_stock_to_vendors/controllers                                                                                     |          1 |         21 |          0 |          4 |         25 |
| lib/ui/logistic/assign_routes                                                                                                        |          2 |        196 |          0 |          7 |        203 |
| lib/ui/logistic/assign_routes (Files)                                                                                                |          1 |        190 |          0 |          5 |        195 |
| lib/ui/logistic/assign_routes/controllers                                                                                            |          1 |          6 |          0 |          2 |          8 |
| lib/ui/logistic/dashboard                                                                                                            |          1 |        681 |          3 |         32 |        716 |
| lib/ui/logistic/delivery_historial                                                                                                   |          4 |        686 |          9 |         40 |        735 |
| lib/ui/logistic/delivery_historial (Files)                                                                                           |          3 |        682 |          9 |         38 |        729 |
| lib/ui/logistic/delivery_historial/controllers                                                                                       |          1 |          4 |          0 |          2 |          6 |
| lib/ui/logistic/delivery_status                                                                                                      |          3 |        622 |          1 |         28 |        651 |
| lib/ui/logistic/delivery_status (Files)                                                                                              |          2 |        618 |          1 |         26 |        645 |
| lib/ui/logistic/delivery_status/controllers                                                                                          |          1 |          4 |          0 |          2 |          6 |
| lib/ui/logistic/guides_sent                                                                                                          |          3 |        599 |          3 |         31 |        633 |
| lib/ui/logistic/guides_sent (Files)                                                                                                  |          2 |        595 |          3 |         29 |        627 |
| lib/ui/logistic/guides_sent/controllers                                                                                              |          1 |          4 |          0 |          2 |          6 |
| lib/ui/logistic/income_and_expenses                                                                                                  |          3 |        545 |          1 |         26 |        572 |
| lib/ui/logistic/income_and_expenses (Files)                                                                                          |          2 |        517 |          1 |         21 |        539 |
| lib/ui/logistic/income_and_expenses/controllers                                                                                      |          1 |         28 |          0 |          5 |         33 |
| lib/ui/logistic/layout                                                                                                               |          1 |        208 |          2 |          9 |        219 |
| lib/ui/logistic/logistic_balance                                                                                                     |          2 |        422 |          0 |         21 |        443 |
| lib/ui/logistic/logistic_balance (Files)                                                                                             |          1 |        416 |          0 |         19 |        435 |
| lib/ui/logistic/logistic_balance/controllers                                                                                         |          1 |          6 |          0 |          2 |          8 |
| lib/ui/logistic/logistics_products                                                                                                   |          2 |        133 |          0 |          7 |        140 |
| lib/ui/logistic/logistics_products (Files)                                                                                           |          1 |        129 |          0 |          5 |        134 |
| lib/ui/logistic/logistics_products/controllers                                                                                       |          1 |          4 |          0 |          2 |          6 |
| lib/ui/logistic/print_guides                                                                                                         |          3 |        968 |          2 |         30 |      1,000 |
| lib/ui/logistic/print_guides (Files)                                                                                                 |          1 |        473 |          2 |         19 |        494 |
| lib/ui/logistic/print_guides/controllers                                                                                             |          1 |          5 |          0 |          2 |          7 |
| lib/ui/logistic/print_guides/model_guide                                                                                             |          1 |        490 |          0 |          9 |        499 |
| lib/ui/logistic/printed_guides                                                                                                       |          2 |        100 |          0 |          6 |        106 |
| lib/ui/logistic/printed_guides (Files)                                                                                               |          1 |         96 |          0 |          4 |        100 |
| lib/ui/logistic/printed_guides/controllers                                                                                           |          1 |          4 |          0 |          2 |          6 |
| lib/ui/logistic/profit_date                                                                                                          |          1 |         74 |          0 |          6 |         80 |
| lib/ui/logistic/proof_payment                                                                                                        |          3 |        646 |         17 |         45 |        708 |
| lib/ui/logistic/proof_payment (Files)                                                                                                |          2 |        642 |         17 |         43 |        702 |
| lib/ui/logistic/proof_payment/controllers                                                                                            |          1 |          4 |          0 |          2 |          6 |
| lib/ui/logistic/provider_invoices                                                                                                    |          1 |         23 |          0 |          5 |         28 |
| lib/ui/logistic/remote_support                                                                                                       |          1 |        114 |          0 |          4 |        118 |
| lib/ui/logistic/returns                                                                                                              |          3 |        530 |          1 |         22 |        553 |
| lib/ui/logistic/returns (Files)                                                                                                      |          2 |        526 |          1 |         20 |        547 |
| lib/ui/logistic/returns/controllers                                                                                                  |          1 |          4 |          0 |          2 |          6 |
| lib/ui/logistic/sales_invoices                                                                                                       |          1 |         23 |          0 |          5 |         28 |
| lib/ui/logistic/shopping                                                                                                             |          2 |         89 |          0 |          7 |         96 |
| lib/ui/logistic/shopping (Files)                                                                                                     |          1 |         85 |          0 |          5 |         90 |
| lib/ui/logistic/shopping/controllers                                                                                                 |          1 |          4 |          0 |          2 |          6 |
| lib/ui/logistic/shopping_status                                                                                                      |          2 |         89 |          0 |          7 |         96 |
| lib/ui/logistic/shopping_status (Files)                                                                                              |          1 |         85 |          0 |          5 |         90 |
| lib/ui/logistic/shopping_status/controllers                                                                                          |          1 |          4 |          0 |          2 |          6 |
| lib/ui/logistic/stock                                                                                                                |          2 |         89 |          0 |          7 |         96 |
| lib/ui/logistic/stock (Files)                                                                                                        |          1 |         85 |          0 |          5 |         90 |
| lib/ui/logistic/stock/controllers                                                                                                    |          1 |          4 |          0 |          2 |          6 |
| lib/ui/logistic/stock_by_company                                                                                                     |          2 |        128 |          0 |          7 |        135 |
| lib/ui/logistic/stock_by_company (Files)                                                                                             |          1 |        124 |          0 |          5 |        129 |
| lib/ui/logistic/stock_by_company/controllers                                                                                         |          1 |          4 |          0 |          2 |          6 |
| lib/ui/logistic/transport_delivery_historial                                                                                         |          4 |        703 |          9 |         39 |        751 |
| lib/ui/logistic/transport_delivery_historial (Files)                                                                                 |          3 |        699 |          9 |         37 |        745 |
| lib/ui/logistic/transport_delivery_historial/controllers                                                                             |          1 |          4 |          0 |          2 |          6 |
| lib/ui/logistic/transport_invoices                                                                                                   |          5 |        713 |         13 |         50 |        776 |
| lib/ui/logistic/transport_invoices (Files)                                                                                           |          4 |        709 |         13 |         48 |        770 |
| lib/ui/logistic/transport_invoices/controllers                                                                                       |          1 |          4 |          0 |          2 |          6 |
| lib/ui/logistic/transport_invoices_cxc                                                                                               |          5 |        811 |         13 |         50 |        874 |
